0
54945,山东,日照,119.32,35.26
54863,山东,海阳,121.11,36.47
54497,辽宁,丹东,124.2,40.03
54486,辽宁,岫岩,123.17,40.17
54584,辽宁,庄河,122.57,39.43
1
53963,山西,侯马,111.22,35.39
53959,山西,运城,111.03,35.03
57297,河南,信阳,114.03,32.08
57178,河南,南阳,112.29,33.06
58208,河南,固始,115.37,32.1
57285,河南,桐柏,113.25,32.23
57089,河南,许昌,113.56,34.04
57461,湖北,宜昌,111.22,30.44
57251,湖北,郧西,110.25,33
53923,甘肃,西峰,107.38,35.44
57025,陕西,凤翔,107.23,34.31
57034,陕西,武功,108.13,34.15
57048,陕西,秦都,108.43,34.24
2
56951,云南,临沧,100.05,23.53
56954,云南,澜沧,99.56,22.34
56946,云南,耿马,99.24,23.33
3
53391,内蒙古,化德,114,41.54
53480,内蒙古,集宁,113.04,41.02
53663,山西,五寨,111.49,38.55
53487,山西,大同,113.25,40.05
53564,山西,河曲,111.09,39.23
53399,河北,张北,114.42,41.09
54401,河北,张家口,114.55,40.46
4
56751,云南,大理,100.11,25.42
56739,云南,腾冲,98.3,24.59
50834,内蒙古,索伦,121.13,46.36
54292,吉林,延吉,129.3,42.52
54186,吉林,敦化,128.12,43.22
54195,吉林,汪清,129.47,43.18
54181,吉林,蛟河,127.2,43.42
50978,黑龙江,鸡西,130.55,45.18
5
58319,安徽,桐城,116.57,31.04
58251,江苏,东台,120.17,32.51
58358,江苏,东山,120.26,31.04
58238,江苏,南京,118.54,31.56
58556,浙江,嵊州,120.49,29.36
58464,浙江,平湖,121.07,30.39
58457,浙江,杭州,120.1,30.14
58562,浙江,鄞州,121.33,29.47
6
54808,山东,莘县,115.38,36.14
53868,山西,临汾,111.3,36.04
53772,山西,太原,112.35,37.37
53787,山西,榆社,112.59,37.04
53884,山西,襄垣,113.02,36.31
59228,广西,平果,107.35,23.19
54705,河北,南宫,115.23,37.22
53798,河北,邢台,114.3,37.04
58005,河南,商丘,115.4,34.27
53898,河南,安阳,114.08,36.03
53754,陕西,绥德,110.13,37.3
7
56969,云南,勐腊,101.35,21.28
56964,云南,思茅,100.58,22.47
56778,云南,昆明,102.39,25
56977,云南,江城,101.51,22.35
56479,四川,昭觉,102.51,28
57902,贵州,兴仁,105.11,25.26
57806,贵州,安顺,105.54,26.15
8
57649,湖南,吉首,109.41,28.14
57554,湖南,桑植,110.1,29.24
57655,湖南,沅陵,110.24,28.28
57745,湖南,芷江,109.41,27.27
57722,贵州,湄潭,107.28,27.46
57633,重庆,酉阳,108.46,28.49
9
59754,广东,徐闻,110.11,20.2
59838,海南,东方,108.37,19.06
59758,海南,海口,110.15,20
59855,海南,琼海,110.28,19.14
10
57799,江西,吉安县,114.55,27.03
57696,江西,宜丰,114.47,28.24
58813,江西,广昌,116.2,26.51
57896,江西,遂川,114.3,26.2
58744,福建,寿宁,119.25,27.27
58847,福建,福州,119.17,26.05
58843,福建,霞浦,120.01,26.53
11
56548,云南,维西,99.17,27.1
56543,云南,香格里拉,99.42,27.5
56144,四川,德格,98.35,31.48
56182,四川,松潘,103.36,32.4
56125,青海,囊谦,96.28,32.12
56034,青海,清水河,97.08,33.48
52868,青海,贵德,101.22,36.01
12
51243,新疆,克拉玛依,84.51,45.37
51828,新疆,和田,79.56,37.08
51053,新疆,哈巴河,86.24,48.03
51133,新疆,塔城,83,46.44
